language,file,channel,termid,term,ref_bt,ref_et,sys_bt,sys_et,sys_score,sys_decision,alignment
swahili,BABEL_OP2_202_29663_20131208_035816_outLine,1,KW202-00001,what she has gone,217.41,218.2400,,,,,MISS
swahili,BABEL_OP2_202_44309_20140220_184116_outLine,1,KW202-00002,ng'ombe,260.76,261.2000,260.77,261.21,0.9323273560409999,YES,CORR
swahili,BABEL_OP2_202_44309_20140220_184116_outLine,1,KW202-00002,ng'ombe,263.79,264.2600,263.8,264.5,0.248303886601,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,486.18,486.6000,486.2,486.6,0.10370782936900001,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,480.55,480.9300,480.54,480.94,0.503431401841,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,440.36,440.7300,440.33,440.75,0.9300114256409999,YES,CORR
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00002,ng'ombe,470.42,470.7800,470.42,470.78,0.885055719076,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00002,ng'ombe,147.51,147.8600,147.51,147.87,0.848979802801,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00002,ng'ombe,342.25,342.8800,342.28,342.86,0.7717429231209999,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00002,ng'ombe,437.69,438.0900,437.69,438.13,0.519131778064,YES,CORR
swahili,BABEL_OP2_202_14814_20140205_210842_inLine,1,KW202-00002,ng'ombe,228.32,228.6500,228.21,228.67,0.599492484361,YES,CORR
swahili,BABEL_OP2_202_17115_20140218_210921_inLine,1,KW202-00002,ng'ombe,246.72,247.1200,246.72,247.12,0.505771302976,YES,CORR
swahili,BABEL_OP2_202_17115_20140218_210921_inLine,1,KW202-00002,ng'ombe,212.62,212.9300,,,,,MISS
swahili,BABEL_OP2_202_25242_20131203_015232_inLine,1,KW202-00002,ng'ombe,144.38,144.7300,144.37,144.79,0.924236122384,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_inLine,1,KW202-00002,ng'ombe,141.78,142.1200,,,,,MISS
swahili,BABEL_OP2_202_39893_20140115_023429_inLine,1,KW202-00002,ng'ombe,347.73,348.0100,,,,,MISS
swahili,BABEL_OP2_202_53957_20131031_012125_inLine,1,KW202-00002,ng'ombe,216.26,216.8200,216.28,216.84,0.9432508065210001,YES,CORR
swahili,BABEL_OP2_202_75993_20140115_210258_outLine,1,KW202-00002,ng'ombe,539.07,539.3600,539.08,539.38,0.22808647705600002,YES,CORR
swahili,BABEL_OP2_202_75993_20140115_210258_outLine,1,KW202-00002,ng'ombe,468.42,468.7700,468.42,468.78,0.266748491529,YES,CORR
swahili,BABEL_OP2_202_18766_20140218_222017_outLine,1,KW202-00002,ng'ombe,,,48.38,48.72,0.721006472641,YES,FA
swahili,BABEL_OP2_202_63604_20121231_193706_inLine,1,KW202-00002,ng'ombe,,,187.88,188.22,0.06705665620899999,YES,FA
swahili,BABEL_OP2_202_15420_20140210_010333_inLine,1,KW202-00002,ng'ombe,,,342.2,342.86,0.094207252624,YES,FA
swahili,BABEL_OP2_202_15420_20140210_010333_inLine,1,KW202-00002,ng'ombe,,,497.88,498.26,0.043866370248999996,YES,FA
swahili,BABEL_OP2_202_92740_20130923_235638_outLine,1,KW202-00002,ng'ombe,,,486.6,487,0.054549806480999996,YES,FA
swahili,BABEL_OP2_202_66177_20140201_213827_inLine,1,KW202-00002,ng'ombe,,,65.61,65.97,0.042247102681,YES,FA
swahili,BABEL_OP2_202_33273_20130219_224915_outLine,1,KW202-00002,ng'ombe,,,406.59,406.93,0.057210420969,YES,FA
swahili,BABEL_OP2_202_92740_20130923_235638_outLine,1,KW202-00003,nimwachie,104.61,105.3600,104.63,105.44,0.11964606159812209,YES,CORR
swahili,BABEL_OP2_202_52265_20140123_235252_outLine,1,KW202-00004,nipelekwe,508.77,509.2100,,,,,MISS
swahili,BABEL_OP2_202_77990_20131007_063102_inLine,1,KW202-00005,nimempigia,492.72,493.1900,492.73,493.21,0.5941218488489999,YES,CORR
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00007,wenda wazimu,103.31,104.4700,,,,,MISS
swahili,BABEL_OP2_202_18766_20140218_222017_outLine,1,KW202-00008,wiki mbili,532.08,532.7400,532.09,532.83,0.6461986308769002,YES,CORR
swahili,BABEL_OP2_202_18766_20140218_222017_outLine,1,KW202-00008,wiki mbili,66.43,67.0400,,,,,MISS
swahili,BABEL_OP2_202_32287_20131207_203757_outLine,1,KW202-00008,wiki mbili,282.97,283.7200,283.0,283.73,0.5916015262034309,YES,CORR
swahili,BABEL_OP2_202_63336_20140129_004138_inLine,1,KW202-00008,wiki mbili,190.43,191.3600,190.45,191.43,0.6040522433471769,YES,CORR
swahili,BABEL_OP2_202_59091_20140130_225624_outLine,1,KW202-00008,wiki mbili,433.42,434.1100,433.43,434.16,0.9029832455013891,YES,CORR
swahili,BABEL_OP2_202_18766_20140218_222017_inLine,1,KW202-00008,wiki mbili,69.35,69.7800,,,,,MISS
swahili,BABEL_OP2_202_32287_20131207_203757_inLine,1,KW202-00008,wiki mbili,281.43,282.0300,281.43,282.01,0.8955953237584352,YES,CORR
swahili,BABEL_OP2_202_75993_20140115_210258_outLine,1,KW202-00008,wiki mbili,497.82,498.3800,497.84,498.39,0.5611297682284567,YES,CORR
swahili,BABEL_OP2_202_29633_20131009_175514_inLine,1,KW202-00008,wiki mbili,,,144.2,144.96,0.008325348068104551,YES,FA
swahili,BABEL_OP2_202_59549_20131003_204655_outLine,1,KW202-00009,waliniambia,154.05,155.1500,154.07,155.03,0.044748748521000005,YES,CORR
swahili,BABEL_OP2_202_55106_20131215_030617_outLine,1,KW202-00009,waliniambia,19.55,20.0200,,,,,MISS
swahili,BABEL_OP2_202_16249_20131202_232723_outLine,1,KW202-00010,utoke,301.49,301.8000,,,,,MISS
swahili,BABEL_OP2_202_92740_20130923_235638_outLine,1,KW202-00010,utoke,,,232.65,232.91,0.337414603876,YES,FA
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00010,utoke,,,88.28,88.88,0.034612742025,YES,FA
swahili,BABEL_OP2_202_52265_20140123_235252_inLine,1,KW202-00010,utoke,,,487.6,487.9,0.098666348544,YES,FA
swahili,BABEL_OP2_202_84177_20131208_021104_outLine,1,KW202-00010,utoke,,,493.58,494.04,0.032777654116000005,YES,FA
swahili,BABEL_OP2_202_68384_20131031_003533_outLine,1,KW202-00011,kupanga,451.73,452.4800,451.75,452.47,0.6239467494090001,YES,CORR
swahili,BABEL_OP2_202_15420_20140210_010333_inLine,1,KW202-00012,naendelea kungoja,167.89,168.9700,167.9,169.25,0.20473547200045772,YES,CORR
swahili,BABEL_OP2_202_15420_20140210_010333_inLine,1,KW202-00012,naendelea kungoja,169.82,170.6500,,,,,MISS
swahili,BABEL_OP2_202_39893_20140115_023429_inLine,1,KW202-00013,akimea pembe,153.17,153.9600,,,,,MISS
swahili,BABEL_OP2_202_73301_20140226_185528_outLine,1,KW202-00014,uchukue fimbo,437.06,437.9600,437.07,438.03,0.517572963180832,YES,CORR
swahili,BABEL_OP2_202_63084_20130801_015957_inLine,1,KW202-00015,eliza,273.13,273.4200,,,,,MISS
swahili,BABEL_OP2_202_55042_20131217_033729_inLine,1,KW202-00015,eliza,,,590.95,591.53,0.7616524165290001,YES,FA
swahili,BABEL_OP2_202_55042_20131217_033729_inLine,1,KW202-00015,eliza,,,591.53,592.21,0.766573793764,YES,FA
swahili,BABEL_OP2_202_73819_20130911_163458_inLine,1,KW202-00015,eliza,,,326.37,326.77,0.050575512100000004,YES,FA
swahili,BABEL_OP2_202_88661_20130801_192922_outLine,1,KW202-00016,tuongezee,314.95,315.6000,314.95,315.85,0.05019195771473161,YES,CORR
swahili,BABEL_OP2_202_66177_20140201_213827_inLine,1,KW202-00016,tuongezee,,,507.86,508.52,0.011858903190650088,YES,FA
swahili,BABEL_OP2_202_45459_20131012_022245_outLine,1,KW202-00018,not show up,159.76,160.2100,,,,,MISS
swahili,BABEL_OP2_202_46169_20131128_184600_outLine,1,KW202-00019,x wanasemaje,33.26,34.2200,,,,,MISS
swahili,BABEL_OP2_202_75993_20140115_210258_inLine,1,KW202-00020,shosho,517.09,517.4900,517.1,517.52,0.7491179462559999,YES,CORR
swahili,BABEL_OP2_202_69964_20131012_170534_inLine,1,KW202-00020,shosho,26.23,26.7400,26.25,26.73,0.33418804809999997,YES,CORR
swahili,BABEL_OP2_202_66822_20130219_225918_outLine,1,KW202-00020,shosho,,,12.97,13.37,0.044275734723999996,YES,FA
swahili,BABEL_OP2_202_63336_20140129_004138_inLine,1,KW202-00021,aliteremka,74.69,75.5100,,,,,MISS
swahili,BABEL_OP2_202_63336_20140129_004138_inLine,1,KW202-00021,aliteremka,75.51,76.5800,,,,,MISS
swahili,BABEL_OP2_202_73258_20130215_190454_outLine,1,KW202-00022,rachael,316.55,317.1100,,,,,MISS
swahili,BABEL_OP2_202_59091_20140130_225624_outLine,1,KW202-00022,rachael,,,419.86,420.31,0.183662,YES,FA
swahili,BABEL_OP2_202_12635_20131101_212012_outLine,1,KW202-00023,inaniambia,22.13,22.6000,22.13,22.59,0.545989465921,YES,CORR
swahili,BABEL_OP2_202_12635_20131101_212012_outLine,1,KW202-00023,inaniambia,,,29.35,30.19,0.077631890625,YES,FA
swahili,BABEL_OP2_202_29633_20131009_175514_outLine,1,KW202-00024,ulimcall akashika,290.96,292.2100,,,,,MISS
swahili,BABEL_OP2_202_17115_20140218_210921_outLine,1,KW202-00026,umeona,444.65,445.2100,444.67,445.21,0.467020525321,YES,CORR
swahili,BABEL_OP2_202_73258_20130215_190454_outLine,1,KW202-00026,umeona,43.48,43.7600,,,,,MISS
swahili,BABEL_OP2_202_73258_20130215_190454_outLine,1,KW202-00026,umeona,,,388.34,388.74,0.372877545769,YES,FA
swahili,BABEL_OP2_202_73258_20130215_190454_outLine,1,KW202-00026,umeona,,,387.38,388.34,0.47778370596100006,YES,FA
swahili,BABEL_OP2_202_18766_20140218_222017_inLine,1,KW202-00026,umeona,241.26,241.4700,,,,,MISS
swahili,BABEL_OP2_202_18766_20140218_222017_inLine,1,KW202-00026,umeona,,,272.04,272.42,0.22212180480399998,YES,FA
swahili,BABEL_OP2_202_92740_20130923_235638_inLine,1,KW202-00026,umeona,38.24,38.5900,,,,,MISS
swahili,BABEL_OP2_202_32287_20131207_203757_outLine,1,KW202-00026,umeona,,,270.43,270.75,0.07289946000099999,YES,FA
swahili,BABEL_OP2_202_92740_20130923_235638_outLine,1,KW202-00026,umeona,,,557.62,557.92,0.096061563844,YES,FA
swahili,BABEL_OP2_202_92740_20130923_235638_outLine,1,KW202-00026,umeona,,,557.93,558.65,0.04931464076099999,YES,FA
swahili,BABEL_OP2_202_25242_20131203_015232_outLine,1,KW202-00026,umeona,,,106.49,107.33,0.32096643852100004,YES,FA
swahili,BABEL_OP2_202_68384_20131031_003533_inLine,1,KW202-00026,umeona,,,209.8,210.1,0.073167004036,YES,FA
swahili,BABEL_OP2_202_45459_20131012_022245_inLine,1,KW202-00027,henry unakuwanga,442.11,442.7700,,,,,MISS
swahili,BABEL_OP2_202_52265_20140123_235252_inLine,1,KW202-00028,tusaidiwe,268.51,269.7400,,,,,MISS
swahili,BABEL_OP2_202_69964_20131012_170534_inLine,1,KW202-00029,tumboga,559.67,560.4500,,,,,MISS
